entry_time,entry_price,size,exit_time,exit_price,profit,status
2021-02-02,131.53370666503906,1,2021-02-16,129.9737548828125,1.5599517822265625,win
2021-03-17,121.74729919433594,1,2021-03-19,117.09246063232422,4.654838562011719,win
2021-03-24,117.19007873535156,1,2021-03-26,118.28300476074219,-1.092926025390625,loss
2021-04-01,120.02979278564453,1,2021-05-03,129.3394012451172,-9.309608459472656,loss
2021-06-08,123.88956451416016,1,2021-08-02,142.2471466064453,-18.357582092285156,loss
2021-08-03,144.0457763671875,1,2021-08-12,145.75946044921875,-1.71368408203125,loss
2021-08-13,145.9650421142578,1,2021-08-20,145.07420349121094,0.890838623046875,win
2021-08-23,146.5622100830078,1,2021-08-30,149.90054321289062,-3.3383331298828125,loss
2021-08-31,148.63763427734375,1,2021-09-14,145.00563049316406,3.6320037841796875,win
2021-10-18,143.46865844726562,1,2021-11-15,147.06044006347656,-3.5917816162109375,loss
2021-11-16,148.0408477783203,1,2022-01-07,168.79595947265625,-20.755111694335938,loss
2022-01-13,168.8155975341797,1,2022-01-18,166.4724578857422,2.3431396484375,win
2022-02-02,172.39405822753906,1,2022-02-15,169.61965942382812,2.7743988037109375,win
2022-02-16,169.38404846191406,1,2022-02-23,157.13304138183594,12.251007080078125,win
2022-03-22,165.72250366210938,1,2022-04-12,164.5837860107422,1.1387176513671875,win
2022-06-01,146.1959686279297,1,2022-06-08,145.4586181640625,0.7373504638671875,win
2022-06-09,140.2285919189453,1,2022-06-13,129.65048217773438,10.578109741210938,win
2022-06-28,135.11648559570312,1,2022-06-30,134.4086456298828,0.7078399658203125,win
2022-07-07,143.87586975097656,1,2022-08-30,156.44052124023438,-12.564651489257812,loss
2022-10-19,141.62440490722656,1,2022-10-20,141.16168212890625,0.4627227783203125,win
2022-10-25,149.97259521484375,1,2022-11-04,136.4555206298828,13.517074584960938,win
2022-11-14,146.2178497314453,1,2022-11-29,139.20672607421875,7.0111236572265625,win
2022-12-02,145.75439453125,1,2022-12-08,140.66615295410156,5.0882415771484375,win
2022-12-14,141.21836853027344,1,2022-12-15,134.60165405273438,6.6167144775390625,win
